cod_conceito,nome_conceito,lista_ant_conceito,lista_prox_conceito,fk_nocao_cod_nocao
1,Introdução da conjunção,"2,3,8","2,3,6,8",1
2,Eliminação da conjunção,"1,3,8","1,3,6,8",1
3,Introdução da disjunção,"1,2,8","1,2,6,8",2
8,Eliminação da negação,"1,2,3","1,2,3,6",4
6,Eliminação da implicação,"1,2,3,8",4,3
4,Eliminação da disjunção,6,"5,7",2
5,Introdução da implicação,"4,7","7,9,12",3
7,Introdução da negação,"4,5","5,9,12",4
9,Introdução do quantificador existencial,"5,7,12","10,11,12",5
12,Eliminação do quantificador universal,"5,7,9","9,10,11",6
10,Eliminação do quantificador existencial,"9,11,12",11,5
11,Introdução do quantificador universal,"9,10,12",10,6